date,symbol,gap_percent,open_price,prev_close,last_price,volume
2024-01-03,MAPSW,-15.116279069767444,0.0219,0.0258,0.0388,21059
2024-01-03,HDSN,0.0,13.89,13.89,14.01,370972
2024-01-03,OCC,-0.18416206261509738,2.71,2.715,2.7,4281
2024-01-03,AMTX,-3.427419354838708,4.79,4.96,4.61,673229
2024-01-03,TLYS,-5.312084993359898,7.13,7.53,7.27,109523
2024-01-03,PKBK,0.35246727089627533,19.93,19.86,19.33,33394
2024-01-03,EDBL,4.938271604938276,0.51,0.486,0.481,49435
2024-01-03,HGBL,0.3636363636363559,2.76,2.75,2.76,55096
2024-01-03,OCSL,-0.4878048780487874,20.4,20.5,20.76,496940
2024-01-03,NGS,-0.0601023017902889,15.6306,15.64,24.35,58710
2024-01-03,ARCO,0.0,12.25,12.25,12.19,708763
2024-01-03,CRNT,-1.3953488372092933,2.12,2.15,2.16,222409
2024-01-03,MATH,-9.56937799043062,1.89,2.09,1.89,155144
2024-01-03,MLKN,-1.8497546243865552,26.0,26.49,26.42,905848
2024-01-03,NRSN,0.0,0.8,0.8,0.81,57196
2024-01-03,AVBH,1.0319410319410185,20.56,20.35,20.49,5795
2024-01-03,FLYW,2.7664399092970493,22.66,22.05,21.23,1355598
2024-01-03,AZTA,-0.986740672217084,64.22,64.86,61.95,404557
2024-01-03,HIPO,-3.4557235421166337,8.94,9.26,8.69,93282
2024-01-03,LCNB,0.0,16.05,16.05,15.86,28101
2024-01-03,AFCG,0.08257638315441608,12.12,12.11,12.11,117718
2024-01-03,NIC,0.0,80.82,80.82,77.8,49484
2024-01-03,BBLGW,16.45569620253163,4.6,3.95,4.14,8276
2024-01-03,QUAD,-0.1876172607879885,5.32,5.33,5.38,165566
2024-01-03,QMCO,0.5757575757575628,0.3319,0.33,0.335,176333
2024-01-03,BMBL,0.27662517289072713,14.5,14.46,14.09,2717170
2024-01-03,MGTX,0.0,7.33,7.33,6.99,159576
2024-01-03,ANTX,0.0,19.9,19.9,18.98,68809
2024-01-03,LANV,4.593639575971728,2.96,2.83,2.97,29585
2024-01-03,MCBS,-0.20559210526316082,24.27,24.32,23.41,28604
2024-01-03,USEA,-3.5156249999999947,2.47,2.56,2.52,36378
2024-01-03,NKGN,-0.9900990099009837,3.0,3.03,2.98,73070
2024-01-03,GSIW,0.0,8.7,8.7,9.65,301537
2024-01-03,GWRS,-1.1538461538461564,12.85,13.0,13.13,42670
2024-01-03,HBB,3.5287421741605063,18.19,17.57,17.58,21027
2024-01-03,SBSI,-0.441083805923116,31.6,31.74,31.12,151898
2024-01-03,BON,-4.936661698956795,0.5103,0.5368,0.525,26618
2024-01-03,GCT,-0.24497795198432487,20.36,20.41,18.58,3194538
2024-01-03,KE,0.5767012687427857,26.16,26.01,25.81,73838
2024-01-03,WNEB,0.11173184357543646,8.96,8.95,8.83,57402
2024-01-03,ATLC,-0.8235919234856596,37.33,37.64,35.1,11768
2024-01-03,LSTA,-4.467353951890045,2.78,2.91,2.8,3847
2024-01-03,HKIT,3.809523809523813,1.09,1.05,1.08,33104
2024-01-03,BLNK,0.3105590062111735,3.23,3.22,2.95,12770823
2024-01-03,PZZA,0.0,75.86,75.86,74.01,657112
2024-01-03,BLMN,-0.8695652173913043,28.5,28.75,27.17,2087532
2024-01-03,MFA,-1.0610079575596905,11.19,11.31,10.88,1159094
2024-01-03,UPXI,-3.141979683439645,1.23,1.2699,1.29,79416
2024-01-03,MNTS,1.1904761904761916,1.7,1.68,1.55,810110
2024-01-03,GLP,-0.3883495145631158,41.04,41.2,41.99,82209
2024-01-03,FKWL,0.8928571428571502,3.39,3.36,3.28,16872
2024-01-03,HCTI,-100.0,0.0,2.77,2.93,3801
2024-01-03,AMCX,1.4270613107822385,19.19,18.92,18.31,332535
2024-01-03,MPX,2.00523103748909,11.7,11.47,11.11,78297
2024-01-03,KRRO,-100.0,0.0,49.14,49.84,7923
2024-01-03,QTRX,-0.8474576271186456,26.91,27.14,25.89,329991
2024-01-03,NEOG,0.0,20.35,20.35,19.54,1937627
2024-01-03,BRY,-3.4293552812071333,7.04,7.29,7.21,717480
2024-01-03,THRM,-0.8440437368118259,51.69,52.13,50.09,257212
2024-01-03,BCBP,-1.5209125475285252,12.95,13.15,13.05,56682
2024-01-03,ZYXI,0.0,10.9,10.9,10.6,439248
2024-01-03,BDTX,1.7605633802816996,2.89,2.84,2.74,292096
2024-01-03,HUBC,2.5641025641025665,2.4,2.34,2.32,192045
2024-01-03,KNW,4.187500000000002,0.5001,0.48,0.5388,97245
2024-01-03,RCAT,-2.7662037037037077,0.8401,0.864,0.9091,264248
2024-01-03,STAA,0.570469798657712,29.97,29.8,29.98,878770
2024-01-03,IMMX,-1.4150943396226532,6.27,6.36,6.32,193863
2024-01-03,CDTX,-3.53012048192771,0.8007,0.83,0.78,409704
2024-01-03,SLN,-12.345013477088944,16.26,18.55,18.19,64119
2024-01-03,ASPS,2.12121212121213,3.37,3.3,3.0,256723
2024-01-03,LOAN,-0.6211180124223654,4.8,4.83,4.76,24109
2024-01-03,LYEL,-0.47169811320755806,2.11,2.12,2.05,988283
2024-01-03,SEER,0.0,1.91,1.91,1.89,563207
2024-01-03,AAT,-0.8695652173913012,22.8,23.0,22.26,271875
2024-01-03,BAOS,-0.6024096385542175,3.3,3.32,4.0,35554
2024-01-03,TVC,-0.5272407732864718,22.64,22.76,22.76,10861
2024-01-03,OVLY,-0.5752961082910379,29.38,29.55,28.425,14144
2024-01-03,MNRO,-0.41166380789021423,29.03,29.15,28.31,498128
2024-01-03,UTMD,0.19166267369429393,83.64,83.48,82.17,11246
2024-01-03,GRC,-0.11425307055126864,34.97,35.01,34.22,52962
2024-01-03,NGL,-0.36166365280290164,5.51,5.53,5.65,324649
2024-01-03,MGNX,3.1434184675834995,10.5,10.18,10.4,424053
2024-01-03,ALNT,-0.40609137055837896,29.43,29.55,28.01,31506
2024-01-03,UNIT,0.34305317324184514,5.85,5.83,5.71,2631480
2024-01-03,FDBC,0.170183798502385,58.86,58.76,55.68,9146
2024-01-03,PHIO,3.300150006818492,0.7575,0.7333,0.723,139185
2024-01-03,NVVE,4.687500000000004,0.134,0.128,0.1249,1137289
2024-01-03,HONE,-0.7358953393295165,12.14,12.23,11.94,226611
2024-01-03,OFG,-0.2167434299647746,36.83,36.91,35.55,274696
2024-01-03,IIPR,-0.009883376161301754,101.17,101.18,99.99,333324
2024-01-03,CGEN,-0.5025125628140708,1.98,1.99,1.9498,575935
2024-01-03,PRSO,3590.9323116219666,8.67,0.2349,7.75,44306
2024-01-03,LSBK,-100.0,0.0,11.9,12.08,2590
2024-01-03,AC,-100.0,0.0,35.0,35.23,5865
2024-01-03,PHVS,-3.153846153846155,25.18,26.0,25.27,58693
2024-01-03,CMCT,-100.0,0.0,3.69,4.01,44425
2024-01-03,ABLV,-100.0,0.0,2.7,2.49,4677
2024-01-03,HLLY,2.742616033755272,4.87,4.74,4.65,306078
2024-01-03,CLFD,-0.6377979187646785,29.6,29.79,28.39,230898
2024-01-03,SLS,5.263157894736848,1.0,0.95,0.9503,1371090
2024-01-03,ONCY,0.0,1.39,1.39,1.31,319974
2024-01-03,LFT,-0.8510638297872347,2.33,2.35,2.38,46684
2024-01-03,TAOP,-5.44554455445545,1.91,2.02,1.49,1134255
2024-01-03,ESLA,-6.666666666666654,1.12,1.2,1.2,16389
2024-01-03,CLDT,-1.1039558417663222,10.75,10.87,10.19,188583
2024-01-03,IMNM,0.0,11.01,11.01,12.0,309069
