date,screen_initial,screen_after_gap,screen_after_price,screen_after_volume,warmup_passed,warmup_failed,patterns_valid,risk_tradeable,gap_filter_pass_rate,price_filter_pass_rate,volume_filter_pass_rate,warmup_pass_rate
2024-01-03,2806,164,93,3,3,0,0,0,5.844618674269423,56.70731707317073,3.225806451612903,100.0
2024-01-04,2783,193,101,5,5,0,0,0,6.93496227093065,52.331606217616574,4.9504950495049505,100.0
2024-01-05,2791,232,120,7,7,0,0,0,8.312432819777857,51.724137931034484,5.833333333333333,100.0
2024-01-08,2796,216,92,0,0,0,0,0,7.725321888412018,42.592592592592595,0.0,0.0
2024-01-09,2783,181,93,2,2,0,0,0,6.503772906934962,51.38121546961326,2.1505376344086025,100.0
2024-01-10,2785,218,111,2,2,0,0,0,7.8276481149012564,50.917431192660544,1.8018018018018018,100.0
2024-01-11,2791,181,88,2,1,1,0,0,6.485130777499104,48.61878453038674,2.272727272727273,50.0
2024-01-12,2765,174,86,1,0,1,0,0,6.292947558770344,49.42528735632184,1.1627906976744187,0.0
