date,symbol,gap_percent,bar_count,passed_warmup,reason
2024-01-03,FEBO,inf,71,True,passed
2024-01-03,NESR,-100.0,99,True,passed
2024-01-03,SOHU,-100.0,89,True,passed
2024-01-04,ACON,1220.2042304886945,386,True,passed
2024-01-04,DIBS,-100.0,156,True,passed
2024-01-04,CINT,-100.0,36,True,passed
2024-01-04,NESR,-100.0,67,True,passed
2024-01-04,IZM,-100.0,221,True,passed
2024-01-05,RDWR,-100.0,108,True,passed
2024-01-05,ORN,-100.0,115,True,passed
2024-01-05,NESR,-100.0,370,True,passed
2024-01-05,OMEX,-100.0,88,True,passed
2024-01-05,ZURA,-100.0,80,True,passed
2024-01-05,GAIA,-100.0,74,True,passed
2024-01-05,ADAG,-100.0,30,True,passed
2024-01-09,ECX,-100.0,55,True,passed
2024-01-09,NESR,-100.0,130,True,passed
2024-01-10,VSTA,-100.0,77,True,passed
2024-01-10,ARMN,-100.0,73,True,passed
2024-01-11,NESR,-100.0,95,True,passed
2024-01-11,RDCM,inf,25,False,insufficient_warmup_bars
2024-01-12,GHLD,-100.0,7,False,insufficient_warmup_bars
