date,symbol,gap_percent,open,volume,float_source,float_value,marketcap_source,marketcap_value,fund_file_exists,fund_symbol_found,fund_error,news_file_exists,news_symbol_found,intraday_file_exists,intraday_symbol_found,intraday_bars
2024-01-03,RVSN,56.8,58.8,15560,missing,,missing,,True,False,'symbol',False,False,True,True,286
2024-01-03,AIFF,52.28731942215088,7.59,4959,missing,,missing,,True,False,'symbol',False,False,True,True,28
2024-01-08,PODC,50.00903668895719,2.49,221926,missing,,missing,,True,False,'symbol',False,False,True,True,149
2024-01-08,VMAR,58.96425643659998,81540.0,0,missing,,missing,,True,False,'symbol',False,False,True,True,374
2024-01-09,BTBD,54.97338042275051,2.94,9485975,missing,,missing,,True,False,'symbol',False,False,True,True,523
2024-01-10,SUIG,58.620689655172406,4.6,117646,missing,,missing,,True,False,'symbol',False,False,True,True,82
2024-01-10,ALVO,72.85828662930344,21.59,244294,missing,,missing,,True,False,'symbol',False,False,True,True,132
2024-01-11,FFNW,50.03700962250185,20.27,342092,missing,,missing,,True,False,'symbol',False,False,True,True,226
2024-01-19,KAMN,60.008956560680694,35.73,2565350,missing,,missing,,True,False,'symbol',False,False,True,True,449
2024-01-25,MBRX,57.16612377850164,289.5,435,missing,,missing,,True,False,'symbol',False,False,True,True,110
2024-01-29,BGM,59.905488913122504,4.399,4534,missing,,missing,,True,False,'symbol',False,False,True,True,34
2024-01-30,ITRM,55.29411764705884,2.64,24510053,missing,,missing,,True,False,'symbol',False,False,True,True,587
2024-02-05,WRAP,74.79553161779374,7.01,2079406,missing,,missing,,True,False,'symbol',False,False,True,True,311
2024-02-08,ZJYL,66.72811059907835,18.09,1416034,missing,,missing,,True,False,'symbol',False,False,True,True,459
2024-02-16,GURE,56.71641791044776,21.0,5638,missing,,missing,,True,False,'symbol',False,False,True,True,44
2024-03-11,BRNS,50.76923076923077,3.92,83507,missing,,missing,,True,False,'symbol',False,False,True,True,66
2024-03-15,ZEO,65.16516516516516,11.0,522929,missing,,missing,,True,False,'symbol',False,False,True,True,269
2024-03-19,FUSN,90.14084507042253,20.25,41244984,missing,,missing,,True,False,'symbol',False,False,True,True,676
2024-03-22,PRM,60.00000000000001,10.08,750290,missing,,missing,,True,False,'symbol',False,False,True,True,253
2024-03-27,GCTS,53.941908713692946,11.13,4271660,missing,,missing,,True,False,'symbol',False,False,True,True,491
2024-03-28,XLO,89.35837245696399,1.21,34537918,missing,,missing,,True,False,'symbol',False,False,True,True,708
2024-03-28,AKBA,50.0,3.0,61073028,missing,,missing,,True,False,'symbol',False,False,True,True,898
