date,symbol,stage,gap_percent,price,volume,relative_volume,bar_count,pattern_strength,patterns_detected
2024-01-03,ARBB,screening_passed,-11.739130434782611,2.03,136807.0,,,,
2024-01-03,PRFX,screening_passed,-16.38795986622074,2.5,123516.0,,,,
2024-01-03,DDC,screening_passed,24.724061810154527,5.65,190433.0,,,,
2024-01-03,FLUX,screening_passed,-16.898608349900606,4.18,268000.0,,,,
2024-01-03,HYMC,screening_passed,14.800000000000004,2.87,248925.0,,,,
2024-01-03,MKTW,screening_passed,-11.313868613138688,2.43,231498.0,,,,
2024-01-04,HUMA,screening_passed,-10.104529616724738,2.58,343847.0,,,,
2024-01-04,EKSO,screening_passed,21.072796934865913,3.16,143303.0,,,,
2024-01-04,ACON,screening_passed,1220.2042304886945,3.62,1557418.0,,,,
2024-01-05,DERM,screening_passed,10.438413361169102,5.29,307764.0,,,,
2024-01-05,PSFE,screening_passed,-10.641754670999191,11.0,464699.0,,,,
2024-01-05,WSBF,screening_passed,14.41666666666667,13.73,157290.0,,,,
2024-01-05,HTLD,screening_passed,17.541082532380635,13.44,420267.0,,,,
2024-01-08,PODC,screening_passed,23.456790123456784,2.0,224749.0,,,,
2024-01-08,DAWN,screening_passed,10.734072022160671,15.99,504814.0,,,,
2024-01-08,JBGS,screening_passed,-11.084765856550094,15.0,825690.0,,,,
2024-01-08,APYX,screening_passed,-10.156250000000009,2.3,207297.0,,,,
2024-01-08,NESR,screening_passed,47.652173913043484,8.49,147583.0,,,,
2024-01-08,JBGS,pattern_valid,-11.084765856550094,,,,331.0,37.17427003721037,step_up
2024-01-09,STTK,screening_passed,10.937500000000009,10.65,602222.0,,,,
2024-01-09,STIM,screening_passed,24.11347517730497,3.5,191866.0,,,,
2024-01-09,HTZ,screening_passed,14.479166666666673,10.99,3029156.0,,,,
2024-01-09,DDC,screening_passed,-13.24675324675325,3.34,345468.0,,,,
2024-01-09,CMPX,screening_passed,16.04278074866309,2.17,568753.0,,,,
2024-01-09,CLDT,screening_passed,13.417190775681354,10.82,206066.0,,,,
2024-01-10,STIM,screening_passed,22.377622377622384,3.5,454747.0,,,,
2024-01-10,ABSI,screening_passed,19.55990220048899,4.89,1657806.0,,,,
2024-01-10,XRTX,screening_passed,34.69387755102039,3.3,116269.0,,,,
2024-01-10,UK,screening_passed,15.714285714285708,4.05,1028702.0,,,,
2024-01-10,NVNI,screening_passed,17.587939698492455,2.34,15625835.0,,,,
2024-01-10,DDC,screening_passed,11.501597444089468,3.49,408137.0,,,,
2024-01-10,DRIO,screening_passed,24.22680412371135,2.41,594152.0,,,,
2024-01-10,MGRM,screening_passed,13.813813813813812,3.79,121568.0,,,,
2024-01-10,MGNX,screening_passed,16.575790621592144,10.69,1437264.0,,,,
2024-01-10,OM,screening_passed,-10.106382978723394,5.07,871321.0,,,,
2024-01-11,IOVA,screening_passed,10.149572649572661,10.31,6370412.0,,,,
2024-01-11,BTCS,screening_passed,10.576923076923064,2.3,650321.0,,,,
2024-01-11,PLX,screening_passed,20.58823529411764,2.05,273003.0,,,,
2024-01-11,MLEC,screening_passed,-14.693877551020421,2.09,19150165.0,,,,
2024-01-11,EKSO,screening_passed,15.384615384615378,2.55,883042.0,,,,
2024-01-11,CERS,screening_passed,13.861386138613852,2.3,1876703.0,,,,
2024-01-11,GCI,screening_passed,13.043478260869579,2.6,563610.0,,,,
2024-01-11,CFFN,screening_passed,10.35714285714286,6.18,940998.0,,,,
2024-01-11,HLLY,screening_passed,10.135135135135117,4.89,239076.0,,,,
2024-01-11,TLS,screening_passed,17.21421664583382,4.97,498540.0,,,,
2024-01-12,ADTX,screening_passed,13.321167883211668,6.21,191006.0,,,,
2024-01-12,CMPX,screening_passed,19.77401129943503,2.12,268705.0,,,,
2024-01-12,CECO,screening_passed,-16.09014675052409,16.01,113182.0,,,,
