date,universe_total_universe,universe_sampled,universe_with_data,universe_without_data,gaps_total,gaps_premarket,gap_min,gap_max,gap_mean,gap_median,screen_initial,screen_after_gap_threshold,screen_after_price_range,screen_after_volume,screen_after_relative_volume,warmup_passed,warmup_failed,warmup_required,bars_min,bars_max,bars_mean,bars_median,patterns_valid,patterns_failed,risk_tradeable,risk_rejected
2024-01-03,3485,100,83,17,2806,True,-46.170212765957444,7218.199307425933,3.6229220097105883,-0.15224782850787785,2806,58,19,6,6,6,0,30,113,253,182.16666666666666,199,0,0,0,0
2024-01-04,3485,100,82,18,2783,True,-59.991793188346335,1220.2042304886945,0.8924650111257115,0.0,2783,61,18,3,3,3,0,30,123,416,261.6666666666667,246,0,0,0,0
2024-01-05,3485,100,85,15,2791,True,-60.0,1545.185746777862,1.0027539645368857,0.0,2791,61,19,4,4,4,0,30,104,267,204.25,252,0,0,0,0
2024-01-08,3485,100,84,16,2796,True,-45.25353460189221,65.93406593406593,0.019457664250014557,0.0,2796,42,12,5,5,5,0,30,42,331,196.2,188,1,0,1,0
2024-01-09,3485,100,85,15,2783,True,-97.6235741444867,1813.0434782608695,0.475435942512152,-0.2631578947368365,2783,61,17,6,6,6,0,30,161,468,302.0,337,0,0,0,0
2024-01-10,3485,100,83,17,2785,True,-65.7762938230384,100.0,0.26975051370479786,0.0,2785,68,19,10,10,10,0,30,103,773,310.8,311,0,0,0,0
2024-01-11,3485,100,85,15,2791,True,-92.0,49.49999999999999,-0.1326083606487616,0.0,2791,66,23,10,10,10,0,30,153,839,368.3,332,0,0,0,0
2024-01-12,3485,100,80,20,2765,True,-60.76433121019108,220.5128205128205,0.49146669261973003,0.24271844660193656,2765,61,14,3,3,3,0,30,138,219,189.0,210,0,0,0,0
