date,universe_total,universe_with_data,universe_without_data,gaps_total,gaps_prev_day,gaps_lookback_days,gap_min,gap_max,gap_mean,gap_median,gap_range_0-5%,gap_range_5-10%,gap_range_10-20%,gap_range_20-50%,gap_range_50%+,top_gapper_symbol,top_gapper_pct,top_gapper_price,screen_initial,screen_after_gap,screen_after_price,screen_after_volume,screen_after_rel_volume,screen_passed,warmup_passed,warmup_failed,warmup_required_mins,warmup_min_bars,patterns_valid,patterns_failed,risk_tradeable,risk_rejected
2024-01-03,2988,98,2,2806,2024-01-02,0,-100.0,inf,inf,-0.27846534653466404,2414,170,40,7,164,IHT,inf,1.55,2806,164,93,47,47,47,44,3,15,5,0,0,0,0
2024-01-04,2988,97,3,2783,2024-01-03,0,-100.0,inf,inf,0.0,2371,165,38,11,193,APM,inf,2.46,2783,193,101,59,59,59,56,3,15,5,0,0,0,0
