date,symbol,gap_percent,bar_count,passed_warmup,reason
2024-01-03,BATL,-100.0,41,True,passed
2024-01-03,KTCC,-100.0,18,True,passed
2024-01-03,LNKB,-100.0,56,True,passed
2024-01-03,TAIT,-100.0,19,True,passed
2024-01-03,MHH,-100.0,18,True,passed
2024-01-03,KALA,-100.0,38,True,passed
2024-01-03,LXEH,-100.0,48,True,passed
2024-01-03,CLGN,-100.0,17,True,passed
2024-01-03,AWX,-100.0,20,True,passed
2024-01-03,HEPA,-100.0,41,True,passed
2024-01-03,CANF,inf,23,True,passed
2024-01-03,RSSS,-100.0,69,True,passed
2024-01-03,MGRM,-100.0,33,True,passed
2024-01-03,SNAX,-100.0,17,True,passed
2024-01-03,PRPH,-100.0,29,True,passed
2024-01-03,NESR,-100.0,99,True,passed
2024-01-03,LANDP,-100.0,17,True,passed
2024-01-03,DHCNL,-100.0,26,True,passed
2024-01-03,AFRI,-100.0,52,True,passed
2024-01-03,FGBI,-100.0,17,True,passed
2024-01-03,CMCT,-100.0,25,True,passed
2024-01-03,TLSI,-100.0,35,True,passed
2024-01-03,VBNK,-100.0,22,True,passed
2024-01-03,PROP,-100.0,45,True,passed
2024-01-03,TCBIO,-100.0,35,True,passed
2024-01-03,QNRX,-100.0,68,True,passed
2024-01-03,ECOR,-100.0,28,True,passed
2024-01-03,CVU,-100.0,37,True,passed
2024-01-03,MRBK,-100.0,37,True,passed
2024-01-03,GENK,-100.0,44,True,passed
2024-01-03,CSTE,-100.0,54,True,passed
2024-01-03,TXO,-100.0,68,True,passed
2024-01-03,LZM,-100.0,41,True,passed
2024-01-03,OPINL,-100.0,58,True,passed
2024-01-03,PRSO,3590.9323116219666,107,True,passed
2024-01-03,FLXS,-100.0,22,True,passed
2024-01-03,AMS,inf,26,True,passed
2024-01-03,TENX,7218.199307425933,161,True,passed
2024-01-03,NEXA,-100.0,49,True,passed
2024-01-03,FSEA,-100.0,16,True,passed
2024-01-03,FEBO,inf,71,True,passed
2024-01-03,SJ,-100.0,19,True,passed
2024-01-03,OCS,-100.0,26,True,passed
2024-01-03,SOHU,-100.0,89,True,passed
2024-01-03,IMTE,-100.0,11,False,insufficient_warmup_bars
2024-01-03,PPIH,-100.0,13,False,insufficient_warmup_bars
2024-01-03,GLBZ,-100.0,7,False,insufficient_warmup_bars
2024-01-04,ACON,1220.2042304886945,386,True,passed
2024-01-04,IMTE,-100.0,32,True,passed
2024-01-04,DIBS,-100.0,156,True,passed
2024-01-04,LANDO,-100.0,28,True,passed
2024-01-04,CCRD,-100.0,31,True,passed
2024-01-04,WHLRD,-100.0,32,True,passed
2024-01-04,SQNS,-100.0,26,True,passed
2024-01-04,FRD,-100.0,53,True,passed
2024-01-04,ALOT,-100.0,20,True,passed
2024-01-04,IZM,-100.0,221,True,passed
2024-01-04,CNF,-100.0,20,True,passed
2024-01-04,CINT,-100.0,36,True,passed
2024-01-04,RSSS,-100.0,22,True,passed
2024-01-04,MGRM,-100.0,24,True,passed
2024-01-04,EBMT,-100.0,30,True,passed
2024-01-04,AIRG,-100.0,23,True,passed
2024-01-04,TACT,-100.0,71,True,passed
2024-01-04,AEON,-100.0,65,True,passed
2024-01-04,NESR,-100.0,67,True,passed
2024-01-04,LANDP,-100.0,26,True,passed
2024-01-04,BRT,-100.0,66,True,passed
2024-01-04,DHCNL,-100.0,39,True,passed
2024-01-04,FNWB,-100.0,25,True,passed
2024-01-04,FGBI,-100.0,29,True,passed
2024-01-04,SRZN,-100.0,28,True,passed
2024-01-04,TIL,-100.0,23,True,passed
2024-01-04,OPBK,-100.0,54,True,passed
2024-01-04,TCBIO,-100.0,29,True,passed
2024-01-04,BCTXW,inf,258,True,passed
2024-01-04,CSPI,-100.0,38,True,passed
2024-01-04,CVU,-100.0,37,True,passed
2024-01-04,LFVN,-100.0,22,True,passed
2024-01-04,HHS,-100.0,27,True,passed
2024-01-04,GENK,-100.0,27,True,passed
2024-01-04,JRSH,-100.0,22,True,passed
2024-01-04,CULP,-100.0,37,True,passed
2024-01-04,ASRV,-100.0,18,True,passed
2024-01-04,GHM,-100.0,72,True,passed
2024-01-04,BTOG,-100.0,31,True,passed
2024-01-04,EDAP,-100.0,19,True,passed
2024-01-04,FLXS,-100.0,41,True,passed
2024-01-04,TURN,-100.0,27,True,passed
2024-01-04,SWIN,-100.0,21,True,passed
2024-01-04,DLHC,-100.0,77,True,passed
2024-01-04,SRBK,-100.0,19,True,passed
2024-01-04,JSPR,923.3918128654971,101,True,passed
2024-01-04,ADSE,-100.0,27,True,passed
2024-01-04,SHIM,-100.0,23,True,passed
2024-01-04,CPSH,-100.0,18,True,passed
2024-01-04,NSTS,-100.0,15,True,passed
2024-01-04,ORN,-100.0,86,True,passed
2024-01-04,SEED,-100.0,51,True,passed
2024-01-04,HBB,-100.0,52,True,passed
2024-01-04,COYA,-100.0,44,True,passed
2024-01-04,NWGL,-100.0,30,True,passed
2024-01-04,PMEC,-100.0,37,True,passed
2024-01-04,AWX,-100.0,14,False,insufficient_warmup_bars
2024-01-04,SIF,-100.0,14,False,insufficient_warmup_bars
2024-01-04,DAIO,-100.0,14,False,insufficient_warmup_bars
